district,latitude,longitude
Amritsar,31.62234,74.87534
Barnala,30.37451,75.5487
Bathinda,30.20747,74.93893
Faridkot,30.67399,74.75579
Fazilka,30.40207,74.02836
Ferozepur,30.92574,74.61311
Gurdaspur,32.03933,75.40318
Hoshiarpur,31.53723,75.91269
Jalandhar,31.32556,75.57917
Kapurthala,31.38011,75.38105
Ludhiana,30.91204,75.85379
Mansa,29.98844,75.40167
Moga,30.81383,75.16878
Pathankot,32.27484,75.65287
Patiala,30.33625,76.3922
Rupnagar,30.21013,73.99427
S.A.S. Nagar (Mohali),30.67995,76.72211
Sangrur,30.24506,75.84488
Tarn Taran,31.45191,74.92777
Ambala,30.36099,76.79782
Bhiwani,28.79304,76.13968
Charkhi Dadri,28.59166,76.27161
Faridabad,28.41124,77.31316
Fatehabad,29.51525,75.45554
Gurugram,28.4601,77.02635
Hisar,29.15394,75.72294
Jhajjar,28.6063,76.6565
Jind,29.31577,76.31502
Kaithal,29.80153,76.39959
Karnal,29.69197,76.98448
Kurukshetra,29.9657,76.837
Mahendragarh,28.26935,76.15253
Nuh,28.10296,77.00144
Palwal,28.14469,77.32546
Panchkula,30.69461,76.8504
Panipat,29.38747,76.96825
Rewari,28.199,76.6183
Rohtak,28.89447,76.58917
Sirsa,29.53489,75.02898
Sonipat,28.99478,77.01937
Yamunanagar,30.12796,77.28371
Shahjahanpur,27.88165,79.90918
Hardoi,27.39491,80.13165
Bareilly,28.36678,79.43167
Sitapur,27.56192,80.68265
Pilibhit,28.63124,79.80436
Lakhimpur Kheri,28.46737,80.57794
Etah,27.55879,78.65692
Mainpuri,27.22857,79.02882
Firozabad,27.15092,78.39781
Etawah,26.77615,79.02133
Auraiya,26.46517,79.50918
Kannauj,27.05524,79.9188
Farrukhabad,27.39134,79.5793
Budaun,28.03811,79.12668
Fatehgarh Sahib,30.64,76.39
Sri Muktsar Sahib,30.47,74.52
Shahid Bhagat Singh Nagar,31.12,76.12
Malerkotla,30.53,75.88
Kanpur Dehat,26.45,79.99
