year,month,harvest_season,nearest_district,district_state,fire_count,weather_station,temperature_2m_max,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,is_kharif_season,is_rabi_season,fire_risk_label,fire_risk_score,lag_fire_count,wind_drought_index
2022,4,rabi,Ambala,Haryana,27,karnal,39.663333333333334,0.0,18.503333333333334,23.2,0,1,medium,6,23,18.503333333333334
2025,4,rabi,Ambala,Haryana,10,karnal,35.71,0.5833333333333334,15.47,40.733333333333334,0,1,low,4,27,9.770526315789473
2022,5,rabi,Ambala,Haryana,5,karnal,38.38709677419355,1.0129032258064516,17.335483870967742,45.25806451612903,0,1,low,2,20,8.612179487179489
2023,5,rabi,Ambala,Haryana,29,karnal,34.88709677419355,3.4967741935483874,17.74516129032258,48.774193548387096,0,1,medium,6,5,3.9461979913916787
2024,5,rabi,Ambala,Haryana,57,karnal,40.832258064516125,0.02258064516129032,20.141935483870967,27.903225806451612,0,1,medium,7,29,19.69716088328076
2025,5,rabi,Ambala,Haryana,41,karnal,35.41935483870968,1.3612903225806452,16.548387096774192,57.58064516129032,0,1,medium,7,57,7.008196721311474
2022,10,kharif,Ambala,Haryana,50,karnal,29.47741935483871,0.8161290322580645,12.741935483870968,72.25806451612904,1,0,medium,7,63,7.015985790408526
2023,10,kharif,Ambala,Haryana,25,karnal,31.27741935483871,0.6774193548387096,12.841935483870968,61.516129032258064,1,0,medium,6,50,7.655769230769232
2024,10,kharif,Ambala,Haryana,15,karnal,31.93548387096774,0.016129032258064516,11.435483870967742,66.80645161290323,1,0,low,5,25,11.253968253968255
2025,10,kharif,Ambala,Haryana,4,karnal,30.080645161290324,1.1870967741935483,10.36774193548387,69.80645161290323,1,0,low,2,15,4.740412979351032
2022,11,kharif,Ambala,Haryana,21,karnal,26.813333333333333,0.04333333333333333,13.726666666666667,63.2,1,0,medium,5,83,13.156549520766776
2023,11,kharif,Ambala,Haryana,11,karnal,26.223333333333336,0.7266666666666667,10.96,71.03333333333333,1,0,low,4,21,6.347490347490349
2024,11,kharif,Ambala,Haryana,3,karnal,26.89,0.0,10.33,72.76666666666667,1,0,low,2,11,10.33
2025,11,kharif,Ambala,Haryana,3,karnal,25.763333333333332,0.06666666666666667,11.663333333333332,63.03333333333333,1,0,low,2,3,10.934375
2022,4,rabi,Amritsar,Punjab,114,amritsar,36.96333333333334,0.06333333333333334,13.713333333333333,37.7,0,1,high,9,1,12.896551724137932
2025,4,rabi,Amritsar,Punjab,12,amritsar,37.77333333333333,0.07333333333333333,16.773333333333333,34.13333333333333,0,1,low,4,114,15.627329192546586
2022,5,rabi,Amritsar,Punjab,252,amritsar,39.07096774193548,0.43870967741935485,17.65806451612903,37.483870967741936,0,1,high,10,123,12.27354260089686
2023,5,rabi,Amritsar,Punjab,134,amritsar,34.935483870967744,1.432258064516129,15.925806451612903,47.225806451612904,0,1,high,9,252,6.547745358090186
2024,5,rabi,Amritsar,Punjab,259,amritsar,39.690322580645166,0.0774193548387097,15.387096774193548,32.354838709677416,0,1,high,10,134,14.281437125748502
2025,5,rabi,Amritsar,Punjab,211,amritsar,37.4741935483871,1.3064516129032258,16.04516129032258,47.193548387096776,0,1,high,10,259,6.956643356643355
2022,10,kharif,Amritsar,Punjab,152,amritsar,30.693548387096776,0.19999999999999998,10.364516129032259,67.16129032258064,1,0,high,9,161,8.63709677419355
2023,10,kharif,Amritsar,Punjab,131,amritsar,29.316129032258065,1.4580645161290324,11.33548387096774,73.45161290322581,1,0,high,9,152,4.611548556430446
2024,10,kharif,Amritsar,Punjab,35,amritsar,32.21612903225807,0.3258064516129032,9.94516129032258,67.06451612903226,1,0,medium,6,131,7.501216545012166
2025,10,kharif,Amritsar,Punjab,51,amritsar,29.86774193548387,2.667741935483871,10.3,69.29032258064517,1,0,medium,7,35,2.808267370272647
2022,11,kharif,Amritsar,Punjab,45,amritsar,24.55666666666667,1.1766666666666665,13.406666666666666,74.1,1,0,medium,7,172,6.1592649310872885
2023,11,kharif,Amritsar,Punjab,71,amritsar,24.816666666666666,1.3233333333333333,11.446666666666665,80.66666666666667,1,0,medium,8,45,4.926829268292683
2024,11,kharif,Amritsar,Punjab,46,amritsar,26.003333333333334,0.19666666666666668,9.006666666666666,76.33333333333333,1,0,medium,7,71,7.526462395543175
2025,11,kharif,Amritsar,Punjab,51,amritsar,24.726666666666667,0.5,8.31,66.23333333333333,1,0,medium,7,46,5.54
2022,4,rabi,Bareilly,Uttar Pradesh,30,karnal,39.663333333333334,0.0,18.503333333333334,23.2,0,1,medium,6,53,18.503333333333334
2023,4,rabi,Bareilly,Uttar Pradesh,7,karnal,34.16,0.4633333333333333,17.446666666666665,38.13333333333333,0,1,low,3,30,11.922551252847379
2024,4,rabi,Bareilly,Uttar Pradesh,34,karnal,34.43333333333333,0.09333333333333334,17.240000000000002,34.5,0,1,medium,6,7,15.768292682926832
2025,4,rabi,Bareilly,Uttar Pradesh,27,karnal,35.71,0.5833333333333334,15.47,40.733333333333334,0,1,medium,6,34,9.770526315789473
2022,5,rabi,Bareilly,Uttar Pradesh,17,karnal,38.38709677419355,1.0129032258064516,17.335483870967742,45.25806451612903,0,1,low,5,19,8.612179487179489
2023,5,rabi,Bareilly,Uttar Pradesh,6,karnal,34.88709677419355,3.4967741935483874,17.74516129032258,48.774193548387096,0,1,low,3,17,3.9461979913916787
2024,5,rabi,Bareilly,Uttar Pradesh,24,karnal,40.832258064516125,0.02258064516129032,20.141935483870967,27.903225806451612,0,1,medium,6,6,19.69716088328076
2025,5,rabi,Bareilly,Uttar Pradesh,40,karnal,35.41935483870968,1.3612903225806452,16.548387096774192,57.58064516129032,0,1,medium,7,24,7.008196721311474
2022,10,kharif,Bareilly,Uttar Pradesh,5,karnal,29.47741935483871,0.8161290322580645,12.741935483870968,72.25806451612904,1,0,low,2,6,7.015985790408526
2023,10,kharif,Bareilly,Uttar Pradesh,16,karnal,31.27741935483871,0.6774193548387096,12.841935483870968,61.516129032258064,1,0,low,5,5,7.655769230769232
2024,10,kharif,Bareilly,Uttar Pradesh,5,karnal,31.93548387096774,0.016129032258064516,11.435483870967742,66.80645161290323,1,0,low,3,16,11.253968253968255
2025,10,kharif,Bareilly,Uttar Pradesh,5,karnal,30.080645161290324,1.1870967741935483,10.36774193548387,69.80645161290323,1,0,low,3,5,4.740412979351032
2022,11,kharif,Bareilly,Uttar Pradesh,25,karnal,26.813333333333333,0.04333333333333333,13.726666666666667,63.2,1,0,medium,6,27,13.156549520766776
2023,11,kharif,Bareilly,Uttar Pradesh,12,karnal,26.223333333333336,0.7266666666666667,10.96,71.03333333333333,1,0,low,4,25,6.347490347490349
2024,11,kharif,Bareilly,Uttar Pradesh,13,karnal,26.89,0.0,10.33,72.76666666666667,1,0,low,4,12,10.33
2025,11,kharif,Bareilly,Uttar Pradesh,23,karnal,25.763333333333332,0.06666666666666667,11.663333333333332,63.03333333333333,1,0,medium,6,13,10.934375
2022,4,rabi,Barnala,Punjab,103,ludhiana,38.93,0.0,18.220000000000002,28.733333333333334,0,1,high,9,20,18.220000000000002
2023,4,rabi,Barnala,Punjab,6,ludhiana,32.06333333333333,0.86,15.370000000000001,48.8,0,1,low,3,103,8.263440860215056
2024,4,rabi,Barnala,Punjab,3,ludhiana,33.34,0.8166666666666667,17.16,42.03333333333333,0,1,low,2,6,9.445871559633028
2025,4,rabi,Barnala,Punjab,8,ludhiana,37.336666666666666,0.18666666666666665,15.983333333333333,33.53333333333333,0,1,low,3,3,13.469101123595506
2022,5,rabi,Barnala,Punjab,76,ludhiana,39.3,1.164516129032258,19.251612903225805,38.516129032258064,0,1,medium,8,73,8.89418777943368
2023,5,rabi,Barnala,Punjab,93,ludhiana,34.36129032258064,3.648387096774193,15.396774193548387,50.03225806451613,0,1,medium,9,76,3.3122831367106174
2024,5,rabi,Barnala,Punjab,93,ludhiana,40.251612903225805,0.06451612903225806,18.690322580645162,29.225806451612904,0,1,medium,9,93,17.55757575757576
2025,5,rabi,Barnala,Punjab,89,ludhiana,37.487096774193546,0.9580645161290323,15.983870967741936,49.45161290322581,0,1,medium,8,93,8.163097199341022
2022,10,kharif,Barnala,Punjab,132,ludhiana,30.019354838709678,0.8580645161290323,10.483870967741936,71.16129032258064,1,0,high,9,215,5.642361111111111
2023,10,kharif,Barnala,Punjab,33,ludhiana,30.774193548387096,0.5967741935483871,11.516129032258064,67.3225806451613,1,0,medium,6,132,7.212121212121212
2024,10,kharif,Barnala,Punjab,11,ludhiana,33.39032258064516,0.06451612903225806,11.490322580645161,61.645161290322584,1,0,low,4,33,10.793939393939395
2025,10,kharif,Barnala,Punjab,42,ludhiana,30.76774193548387,1.2903225806451613,10.138709677419355,65.93548387096774,1,0,medium,7,11,4.426760563380282
2022,11,kharif,Barnala,Punjab,532,ludhiana,25.543333333333333,0.57,12.72,72.73333333333333,1,0,high,10,839,8.10191082802548
2023,11,kharif,Barnala,Punjab,503,ludhiana,26.256666666666668,0.38999999999999996,11.31,72.63333333333334,1,0,high,10,532,8.136690647482016
2024,11,kharif,Barnala,Punjab,168,ludhiana,26.553333333333335,0.0,8.876666666666667,75.93333333333334,1,0,high,9,503,8.876666666666667
2025,11,kharif,Barnala,Punjab,83,ludhiana,25.883333333333333,0.0,9.91,59.9,1,0,medium,8,168,9.91
2022,4,rabi,Bathinda,Punjab,91,ludhiana,38.93,0.0,18.220000000000002,28.733333333333334,0,1,medium,8,35,18.220000000000002
2023,4,rabi,Bathinda,Punjab,47,ludhiana,32.06333333333333,0.86,15.370000000000001,48.8,0,1,medium,7,91,8.263440860215056
2024,4,rabi,Bathinda,Punjab,6,ludhiana,33.34,0.8166666666666667,17.16,42.03333333333333,0,1,low,3,47,9.445871559633028
2025,4,rabi,Bathinda,Punjab,25,ludhiana,37.336666666666666,0.18666666666666665,15.983333333333333,33.53333333333333,0,1,medium,6,6,13.469101123595506
2022,5,rabi,Bathinda,Punjab,121,ludhiana,39.3,1.164516129032258,19.251612903225805,38.516129032258064,0,1,high,9,122,8.89418777943368
2023,5,rabi,Bathinda,Punjab,154,ludhiana,34.36129032258064,3.648387096774193,15.396774193548387,50.03225806451613,0,1,high,9,121,3.3122831367106174
2024,5,rabi,Bathinda,Punjab,130,ludhiana,40.251612903225805,0.06451612903225806,18.690322580645162,29.225806451612904,0,1,high,9,154,17.55757575757576
2025,5,rabi,Bathinda,Punjab,173,ludhiana,37.487096774193546,0.9580645161290323,15.983870967741936,49.45161290322581,0,1,high,9,130,8.163097199341022
2022,10,kharif,Bathinda,Punjab,130,ludhiana,30.019354838709678,0.8580645161290323,10.483870967741936,71.16129032258064,1,0,high,9,241,5.642361111111111
2023,10,kharif,Bathinda,Punjab,15,ludhiana,30.774193548387096,0.5967741935483871,11.516129032258064,67.3225806451613,1,0,low,5,130,7.212121212121212
2024,10,kharif,Bathinda,Punjab,15,ludhiana,33.39032258064516,0.06451612903225806,11.490322580645161,61.645161290322584,1,0,low,5,15,10.793939393939395
2025,10,kharif,Bathinda,Punjab,39,ludhiana,30.76774193548387,1.2903225806451613,10.138709677419355,65.93548387096774,1,0,medium,7,15,4.426760563380282
2022,11,kharif,Bathinda,Punjab,695,ludhiana,25.543333333333333,0.57,12.72,72.73333333333333,1,0,high,10,1136,8.10191082802548
2023,11,kharif,Bathinda,Punjab,580,ludhiana,26.256666666666668,0.38999999999999996,11.31,72.63333333333334,1,0,high,10,695,8.136690647482016
2024,11,kharif,Bathinda,Punjab,283,ludhiana,26.553333333333335,0.0,8.876666666666667,75.93333333333334,1,0,high,10,580,8.876666666666667
2025,11,kharif,Bathinda,Punjab,193,ludhiana,25.883333333333333,0.0,9.91,59.9,1,0,high,10,283,9.91
2022,4,rabi,Bhiwani,Haryana,20,hisar,40.193333333333335,0.0,16.696666666666665,18.966666666666665,0,1,medium,5,15,16.696666666666665
2025,4,rabi,Bhiwani,Haryana,11,hisar,38.983333333333334,0.03666666666666667,15.326666666666666,25.8,0,1,low,4,20,14.784565916398714
