district,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
"Amritsar, Punjab",2021-01-01,15.7,3.0,0.0,9.3,85
"Amritsar, Punjab",2021-01-02,16.0,2.8,2.1,11.3,88
"Amritsar, Punjab",2021-01-03,17.3,10.6,13.3,14.4,88
"Amritsar, Punjab",2021-01-04,18.8,11.9,9.4,15.2,90
"Amritsar, Punjab",2021-01-05,17.2,13.1,23.3,15.5,91
"Amritsar, Punjab",2021-01-06,19.0,11.5,6.4,10.5,87
"Amritsar, Punjab",2021-01-07,16.8,9.2,0.0,8.3,93
"Amritsar, Punjab",2021-01-08,17.5,8.8,0.0,9.2,87
"Amritsar, Punjab",2021-01-09,16.8,6.6,0.0,10.8,88
"Amritsar, Punjab",2021-01-10,15.8,4.8,0.0,10.3,90
"Amritsar, Punjab",2021-01-11,16.9,5.4,0.0,8.2,86
"Amritsar, Punjab",2021-01-12,14.4,5.3,0.0,8.7,91
"Amritsar, Punjab",2021-01-13,14.4,4.6,0.0,6.8,89
"Amritsar, Punjab",2021-01-14,13.7,3.8,0.0,9.0,93
"Amritsar, Punjab",2021-01-15,14.4,6.1,0.0,4.8,93
"Amritsar, Punjab",2021-01-16,12.4,5.8,0.0,6.4,95
"Amritsar, Punjab",2021-01-17,13.6,5.6,0.0,12.1,91
"Amritsar, Punjab",2021-01-18,17.9,6.4,0.0,9.0,90
"Amritsar, Punjab",2021-01-19,19.0,5.8,0.0,9.0,86
"Amritsar, Punjab",2021-01-20,18.9,6.1,0.0,11.5,84
"Amritsar, Punjab",2021-01-21,18.0,5.1,0.0,10.4,82
"Amritsar, Punjab",2021-01-22,17.9,4.9,0.0,14.2,85
"Amritsar, Punjab",2021-01-23,15.1,7.7,6.5,15.8,87
"Amritsar, Punjab",2021-01-24,16.7,7.6,0.0,9.3,86
"Amritsar, Punjab",2021-01-25,17.9,4.9,0.0,9.6,74
"Amritsar, Punjab",2021-01-26,17.5,4.8,0.0,11.2,78
"Amritsar, Punjab",2021-01-27,17.4,3.9,0.0,11.6,78
"Amritsar, Punjab",2021-01-28,18.0,5.5,0.0,9.7,75
"Amritsar, Punjab",2021-01-29,17.6,4.0,0.0,11.5,81
"Amritsar, Punjab",2021-01-30,17.1,4.1,0.0,9.9,73
"Amritsar, Punjab",2021-01-31,18.9,3.8,0.0,9.4,80
"Amritsar, Punjab",2021-02-01,20.0,5.8,0.0,9.7,78
"Amritsar, Punjab",2021-02-02,20.2,6.0,0.0,10.3,76
"Amritsar, Punjab",2021-02-03,19.8,8.8,3.7,15.7,81
"Amritsar, Punjab",2021-02-04,17.7,7.6,6.3,15.1,83
"Amritsar, Punjab",2021-02-05,17.5,5.3,0.0,10.2,82
"Amritsar, Punjab",2021-02-06,19.2,6.7,0.0,11.0,80
"Amritsar, Punjab",2021-02-07,20.0,6.4,0.0,10.8,79
"Amritsar, Punjab",2021-02-08,21.4,6.8,0.0,7.6,81
"Amritsar, Punjab",2021-02-09,22.4,7.5,0.0,9.1,84
"Amritsar, Punjab",2021-02-10,21.6,9.1,0.0,9.3,82
"Amritsar, Punjab",2021-02-11,22.3,9.1,0.0,10.8,87
"Amritsar, Punjab",2021-02-12,22.1,9.4,0.0,8.4,87
"Amritsar, Punjab",2021-02-13,21.5,9.9,0.0,8.7,90
"Amritsar, Punjab",2021-02-14,21.1,10.1,0.0,7.8,91
"Amritsar, Punjab",2021-02-15,21.8,10.1,0.0,5.9,90
"Amritsar, Punjab",2021-02-16,22.3,10.4,0.0,7.3,89
"Amritsar, Punjab",2021-02-17,22.5,10.6,0.0,8.6,89
"Amritsar, Punjab",2021-02-18,22.5,10.4,0.0,8.9,88
"Amritsar, Punjab",2021-02-19,22.4,10.9,0.0,6.9,87
"Amritsar, Punjab",2021-02-20,23.1,9.8,0.0,7.3,85
"Amritsar, Punjab",2021-02-21,23.6,10.4,0.0,9.7,84
"Amritsar, Punjab",2021-02-22,25.0,11.3,0.0,8.6,80
"Amritsar, Punjab",2021-02-23,26.4,12.0,0.0,10.0,79
"Amritsar, Punjab",2021-02-24,26.4,12.1,0.0,9.5,77
"Amritsar, Punjab",2021-02-25,27.0,13.8,0.0,10.5,68
"Amritsar, Punjab",2021-02-26,27.9,13.6,0.0,12.0,69
"Amritsar, Punjab",2021-02-27,24.6,14.9,0.0,19.1,64
"Amritsar, Punjab",2021-02-28,24.4,11.6,0.0,9.3,68
"Amritsar, Punjab",2021-03-01,24.9,11.2,0.0,11.4,67
"Amritsar, Punjab",2021-03-02,25.8,11.8,0.0,14.7,57
"Amritsar, Punjab",2021-03-03,26.4,11.6,0.0,11.3,64
"Amritsar, Punjab",2021-03-04,26.9,11.2,0.0,10.0,68
"Amritsar, Punjab",2021-03-05,28.0,11.8,0.0,15.4,61
"Amritsar, Punjab",2021-03-06,26.2,11.5,0.0,11.4,58
"Amritsar, Punjab",2021-03-07,27.8,16.9,0.0,17.6,53
"Amritsar, Punjab",2021-03-08,28.0,16.1,1.4,16.6,64
"Amritsar, Punjab",2021-03-09,28.8,14.8,0.0,15.1,65
"Amritsar, Punjab",2021-03-10,28.1,14.4,0.0,10.1,65
"Amritsar, Punjab",2021-03-11,28.9,12.7,0.0,12.8,61
"Amritsar, Punjab",2021-03-12,25.6,14.4,0.2,21.5,60
"Amritsar, Punjab",2021-03-13,27.2,13.0,0.0,11.6,61
"Amritsar, Punjab",2021-03-14,26.7,12.6,0.0,9.6,71
"Amritsar, Punjab",2021-03-15,27.9,12.9,0.0,11.2,69
"Amritsar, Punjab",2021-03-16,29.0,14.1,0.0,10.9,69
"Amritsar, Punjab",2021-03-17,29.4,15.5,0.0,15.0,65
"Amritsar, Punjab",2021-03-18,29.5,14.6,0.0,10.5,64
"Amritsar, Punjab",2021-03-19,30.0,14.2,0.0,14.6,55
"Amritsar, Punjab",2021-03-20,29.9,13.8,0.0,10.7,58
"Amritsar, Punjab",2021-03-21,27.3,14.6,0.1,19.8,69
"Amritsar, Punjab",2021-03-22,25.1,16.2,1.8,22.0,62
"Amritsar, Punjab",2021-03-23,24.4,16.0,5.8,28.1,67
"Amritsar, Punjab",2021-03-24,26.4,13.4,0.7,13.5,64
"Amritsar, Punjab",2021-03-25,27.1,14.0,0.0,12.8,64
"Amritsar, Punjab",2021-03-26,28.5,14.1,0.0,9.6,66
"Amritsar, Punjab",2021-03-27,30.8,14.1,0.0,9.6,67
"Amritsar, Punjab",2021-03-28,33.0,16.5,0.0,14.2,60
"Amritsar, Punjab",2021-03-29,34.4,22.5,0.1,23.1,46
"Amritsar, Punjab",2021-03-30,32.5,17.6,0.0,18.2,45
"Amritsar, Punjab",2021-03-31,30.1,17.4,0.0,23.7,23
"Amritsar, Punjab",2021-04-01,30.0,17.1,0.0,25.5,17
"Amritsar, Punjab",2021-04-02,28.4,15.5,0.0,18.8,20
"Amritsar, Punjab",2021-04-03,30.6,12.4,0.0,11.5,36
"Amritsar, Punjab",2021-04-04,31.4,13.4,0.0,12.3,40
"Amritsar, Punjab",2021-04-05,31.4,18.1,0.0,12.7,40
"Amritsar, Punjab",2021-04-06,31.0,18.6,0.9,26.3,42
"Amritsar, Punjab",2021-04-07,30.5,16.5,5.3,16.5,56
"Amritsar, Punjab",2021-04-08,30.2,14.4,0.0,12.3,40
"Amritsar, Punjab",2021-04-09,31.8,14.6,0.0,11.5,41
"Amritsar, Punjab",2021-04-10,33.8,15.8,0.0,15.5,34
"Amritsar, Punjab",2021-04-11,34.2,16.5,0.0,14.3,34
"Amritsar, Punjab",2021-04-12,34.2,20.2,0.0,16.6,33
"Amritsar, Punjab",2021-04-13,35.6,19.2,0.0,15.0,35
"Amritsar, Punjab",2021-04-14,35.3,21.0,0.1,25.2,35
"Amritsar, Punjab",2021-04-15,33.5,18.9,0.0,20.2,37
"Amritsar, Punjab",2021-04-16,32.8,19.5,1.8,23.2,44
"Amritsar, Punjab",2021-04-17,25.4,17.8,24.9,22.0,81
"Amritsar, Punjab",2021-04-18,29.9,16.5,0.0,13.3,61
"Amritsar, Punjab",2021-04-19,32.3,17.4,0.0,14.8,46
"Amritsar, Punjab",2021-04-20,29.0,15.7,2.7,14.3,49
"Amritsar, Punjab",2021-04-21,25.0,16.3,4.8,14.1,70
"Amritsar, Punjab",2021-04-22,26.6,16.0,1.8,22.7,69
"Amritsar, Punjab",2021-04-23,26.0,15.6,4.2,18.0,65
"Amritsar, Punjab",2021-04-24,30.4,13.6,0.0,11.3,54
"Amritsar, Punjab",2021-04-25,33.8,15.6,0.0,10.7,46
"Amritsar, Punjab",2021-04-26,36.5,17.7,0.0,9.6,43
